Name,Date,Prev_close,Close,Per_diff
ORISSAMINE,01-02-2021 00:00,2337.25,2478.85,6.058401968
ORISSAMINE,01-03-2021 00:00,2478.85,2466,-0.518385542
ORISSAMINE,01-04-2021 00:00,2466,2352.65,-4.596512571
ORISSAMINE,03-05-2021 00:00,2352.65,2917.65,24.01547191
ORISSAMINE,01-06-2021 00:00,2917.65,3315.75,13.6445427
ORISSAMINE,01-07-2021 00:00,3315.75,3051.6,-7.966523411
ORISSAMINE,02-08-2021 00:00,3051.6,2742.05,-10.14385896
ORISSAMINE,01-09-2021 00:00,2742.05,2863.95,4.445579038
ORISSAMINE,01-10-2021 00:00,2863.95,2546.1,-11.09830828
ORISSAMINE,01-11-2021 00:00,2546.1,2295.4,-9.846431798
ORISSAMINE,01-12-2021 00:00,2295.4,2296.8,0.060991548
ORISSAMINE,03-01-2022 00:00,2296.8,2873.75,25.1197318
ORISSAMINE,01-02-2022 00:00,2873.75,2857.1,-0.57938234
ORTINLAB,15-04-2021 00:00,21.85,28.8,31.80778032
ORTINLAB,03-05-2021 00:00,28.8,27.05,-6.076388889
ORTINLAB,01-06-2021 00:00,27.05,38.1,40.85027726
ORTINLAB,01-07-2021 00:00,38.1,35.1,-7.874015748
ORTINLAB,02-08-2021 00:00,35.1,27.1,-22.79202279
ORTINLAB,01-09-2021 00:00,27.1,26.95,-0.553505535
ORTINLAB,01-10-2021 00:00,26.95,29.85,10.7606679
ORTINLAB,01-11-2021 00:00,29.85,30.15,1.005025126
ORTINLAB,01-12-2021 00:00,30.15,33.3,10.44776119
ORTINLAB,03-01-2022 00:00,33.3,31.2,-6.306306306
ORTINLAB,01-02-2022 00:00,31.2,30.1,-3.525641026
PANACEABIO,01-01-2020 00:00,131.3,130.1,-0.913937548
PANACEABIO,01-02-2020 00:00,130.1,107,-17.75557264
PANACEABIO,02-03-2020 00:00,107,109.25,2.102803738
PANACEABIO,01-04-2020 00:00,109.25,172.4,57.80320366
PANACEABIO,04-05-2020 00:00,172.4,148.85,-13.66009281
PANACEABIO,01-06-2020 00:00,148.85,202.35,35.94222372
PANACEABIO,01-07-2020 00:00,202.35,215.4,6.449221646
PANACEABIO,03-08-2020 00:00,215.4,186.85,-13.2544104
PANACEABIO,01-09-2020 00:00,186.85,207.1,10.83757024
PANACEABIO,06-10-2020 00:00,190.5,173.5,-8.923884514
PANACEABIO,02-11-2020 00:00,173.5,200.45,15.53314121
PANACEABIO,01-12-2020 00:00,200.45,239.55,19.50611125
PANACEABIO,01-01-2021 00:00,239.55,193.1,-19.3905239
PANACEABIO,01-02-2021 00:00,193.1,197.6,2.330398757
PANACEABIO,01-03-2021 00:00,197.6,178.9,-9.463562753
PANACEABIO,01-04-2021 00:00,178.9,331.85,85.49468977
